firstName,lastName,email,phone,gender,birthDate,birthPlace,nationality,address,city,parentName,parentEmail,parentPhone,parentOccupation,parentAddress,level,class,classesId,enrollmentDate,enrollmentYear,status,academicStatus,bloodGroup,allergies,medicalConditions,emergencyContactName,emergencyContactRelationship,emergencyContactPhone
John,Smith,john.smith@email.com,677891264,male,2010-05-20,Yaoundé,Cameroonian,Rue 313233,Yaoundé,William Smith,william.smith@email.com,677891265,Manager,Rue 313233,Form 1,68f31a655474a3048b7796ff,68dc62a718f276502c516774,2024-09-01,2024-2025,active,regular,A-,Noix,Hypertension,Lisa Smith,Mère,677891266
Sarah,Jones,sarah.jones@email.com,677891267,female,2010-09-08,Douala,Cameroonian,Avenue 343536,Douala,James Jones,james.jones@email.com,677891268,Comptable,Avenue 343536,Form 1,68f31a655474a3048b7796ff,68dc62a718f276502c516775,2024-09-01,2024-2025,active,regular,O-,Lactose,Aucune,Olivia Jones,Sœur,677891269
Michael,Brown,michael.brown@email.com,677891270,male,2010-01-15,Bafoussam,Cameroonian,Boulevard 373839,Bafoussam,Charles Brown,charles.brown@email.com,677891271,Architecte,Boulevard 373839,Form 1,68f31a655474a3048b7796ff,68dc62a718f276502c516776,2024-09-01,2024-2025,active,advanced,B+,Abeilles,Épilepsie,Sophia Brown,Mère,677891272
Emily,Davis,emily.davis@email.com,677891273,female,2010-11-23,Garoua,Cameroonian,Rue 404142,Garoua,George Davis,george.davis@email.com,677891274,Avocat,Rue 404142,Form 1,68f31b8d5474a3048b7797d9,68dc62a718f276502c516777,2024-09-01,2024-2025,active,regular,AB-,Pollen,Allergie cutanée,Ava Davis,Sœur,677891275
Daniel,Wilson,daniel.wilson@email.com,677891276,male,2010-07-30,Bamenda,Cameroonian,Avenue 434445,Bamenda,Henry Wilson,henry.wilson@email.com,677891277,Ingénieur,Avenue 434445,Form 1,68f31b8d5474a3048b7797d9,68dc62a718f276502c516778,2024-09-01,2024-2025,active,regular,A+,Aucune,Problèmes cardiaques,Mia Wilson,Mère,677891278
Olivia,Taylor,olivia.taylor@email.com,677891279,female,2009-04-12,Yaoundé,Cameroonian,Rue 464748,Yaoundé,Andrew Taylor,andrew.taylor@email.com,677891280,Enseignant,Rue 464748,Form 2,68f50de72d95e42f951382ab,68dc62a718f276502c516779,2024-09-01,2024-2025,active,regular,O+,Coquillages,Asthme,Isabella Taylor,Mère,677891281
James,Anderson,james.anderson@email.com,677891282,male,2009-08-19,Douala,Cameroonian,Avenue 495051,Douala,Edward Anderson,edward.anderson@email.com,677891283,Médecin,Avenue 495051,Form 2,68f50de72d95e42f951382ab,68dc62a718f276502c51677a,2024-09-01,2024-2025,active,advanced,B-,Aucune,Diabète,Sophia Anderson,Mère,677891284
Sophia,Thomas,sophia.thomas@email.com,677891285,female,2009-12-05,Bafoussam,Cameroonian,Boulevard 525354,Bafoussam,Christopher Thomas,christopher.thomas@email.com,677891286,Manager,Boulevard 525354,Form 2,68f50de72d95e42f951382ab,68dc62a718f276502c51677b,2024-09-01,2024-2025,active,regular,A-,Poussière,Hypertension,Emma Thomas,Sœur,677891287
Benjamin,Jackson,benjamin.jackson@email.com,677891288,male,2009-02-28,Garoua,Cameroonian,Rue 555657,Garoua,Matthew Jackson,matthew.jackson@email.com,677891289,Comptable,Rue 555657,Form 2,68f50de72d95e42f951382ad,68dc62a718f276502c51677c,2024-09-01,2024-2025,active,repeating,AB+,Noix,Aucune,Ava Jackson,Mère,677891290
Isabella,White,isabella.white@email.com,677891291,female,2009-06-15,Bamenda,Cameroonian,Avenue 585960,Bamenda,Daniel White,daniel.white@email.com,677891292,Architecte,Avenue 585960,Form 2,68f50de72d95e42f951382ad,68dc62a718f276502c51677d,2024-09-01,2024-2025,active,regular,O-,Lactose,Épilepsie,Mia White,Sœur,677891293
